ID	VARID	DOCULECT	GLOSS	FRENCH	ENGLISH_SHORT	FRENCH_SHORT	ENGLISH_CATEGORY	FRENCH_CATEGORY	VALUE_ORG	SINGULAR	PLURAL	FORM	PARSED FORM	MCF	RECONSTRUCTION	NOTE	NOTES					COGID	COGIDS		CONCEPT	POS
3,546	0	PergeTegu	braids, hairstyle	tresses, coiffure de femme	braid	tresse	grooming/braid	tressage/tresse	mùlú	mùlú								mùlú	^ m ù l ú $	m ù/u l ú/u	m ù/u l ú/u	1725	3309	1043	BRAID	noun
3,547	0	TebulUre	braids, hairstyle	tresses, coiffure de femme	braid	tresse	grooming/braid	tressage/tresse	kù:-ɛ̀rú	kù:-ɛ̀rú								kù:-ɛ̀rú	^ k ù: ɛ̀ r ú $	k ùː/uː + ɛ̀/ɛ r ú/u	k ùː/uː + ɛ̀/ɛ r ú/u	1717	3305 3306	1043	BRAID	noun
3,548	0	Tiranige	braids, hairstyle	tresses, coiffure de femme	braid	tresse	grooming/braid	tressage/tresse	kògò-[múndí-yé]	kògò-múndí-yé								kògò-	^ k ò g ò $	k ò/o ɡ ò/o	k ò/o ɡ ò/o	1727	3310	1043	BRAID	noun
3,549	0	TogoKan	braids, hairstyle	tresses, coiffure de femme	braid	tresse	grooming/braid	tressage/tresse	kùⁿ-mùnú	kùⁿ-mùnú								kùⁿ-mùnú	^ k ùⁿ m ù n ú $	k ũ̀/ũ + m ù/u n ú/u	k ũ̀/ũ + m ù/u n ú/u	1718	3305 3309	1043	BRAID	noun
3,550	0	TommoSoTongoTongo	braids, hairstyle	tresses, coiffure de femme	braid	tresse	grooming/braid	tressage/tresse	kùù ɛ̀rú	kùù ɛ̀rú								kùù_ɛ̀rú	^ k ùù _ ɛ̀ r ú $	k ùː/uː + ɛ̀/ɛ r ú/u	k ùː/uː + ɛ̀/ɛ r ú/u	1717	3305 3306	1043	BRAID	noun
3,551	0	ToroTegu	braids, hairstyle	tresses, coiffure de femme	braid	tresse	grooming/braid	tressage/tresse	kù-ɛ́rú	kù-ɛ́rú								kù-ɛ́rú	^ k ù ɛ́ r ú $	k ù/u + ɛ́/ɛ r ú/u	k ù/u + ɛ́/ɛ r ú/u	1717	3305 3306	1043	BRAID	noun
3,552	0	YandaDom	braids, hairstyle	tresses, coiffure de femme	braid	tresse	grooming/braid	tressage/tresse	kò:-ɛ̀dú	kò:-ɛ̀dú								kò:-ɛ̀dú	^ k ò: ɛ̀ d ú $	k òː/oː + ɛ̀/ɛ d ú/u	k òː/oː + ɛ̀/ɛ d ú/u	1718	3305 3306	1043	BRAID	noun
3,553	0	YornoSo	braids, hairstyle	tresses, coiffure de femme	braid	tresse	grooming/braid	tressage/tresse	kù:-ɛ́rú	kù:-ɛ́rú								kù:-ɛ́rú	^ k ù: ɛ́ r ú $	k ùː/uː + ɛ́/ɛ r ú/u	k ùː/uː + ɛ́/ɛ r ú/u	1717	3305 3306	1043	BRAID	noun
3,554	0	BankanTey	bracelet	bracelet	bracelet	bracelet	jewelry/bracelet	bijoux/bracelet	nà:-ɲírⁿéy	nà:-ɲírⁿéy								nà:-ɲírⁿéy	^ n à: ɲ í rⁿ é y $	n à:/aː + ɲ/ɲ í/i r̃ é/e j	n à:/aː + ɲ/ɲ í/i r̃ é/e j	1697	3270 3271	1754	BRACELET	noun
3,555	0	BenTey	bracelet	bracelet	bracelet	bracelet	jewelry/bracelet	bijoux/bracelet	nà: mɛ́:ní:	nà: mɛ́:ní:								nà:_mɛ́:ní:	^ n à: _ m ɛ́: n í: $	n à:/aː + m ɛ́:/ɛː n í:/iː	n à:/aː + m ɛ́:/ɛː - n í:/iː	1698	3270 3272	1754	BRACELET	noun
3,556	0	DogulDomBendiely	bracelet	bracelet	bracelet	bracelet	jewelry/bracelet	bijoux/bracelet	mɛ́nnù	mɛ́nnù								mɛ́nnù	^ m ɛ́ n n ù $	m ɛ́/ɛ n n ù/u	m ɛ́/ɛ n n ù/u	1699	3272	1754	BRACELET	noun
3,557	0	DogulDomKundialang	bracelet	bracelet	bracelet	bracelet	jewelry/bracelet	bijoux/bracelet	ménnù-ŋ̀ (pl ménnù yà:)	ménnù-ŋ̀ 	ménnù yà:							ménnù-ŋ̀_	^ m é n n ù ŋ̀ _$	m é/e n n ù/u + ŋ̀/ŋ	m é/e n n ù/u + ŋ̀/ŋ -	1699	3272 3270	1754	BRACELET	noun
3,558	0	DonnoSo	bracelet	bracelet	bracelet	bracelet	jewelry/bracelet	bijoux/bracelet	mɛ́nnù	mɛ́nnù								mɛ́nnù	^ m ɛ́ n n ù $	m ɛ́/ɛ n n ù/u	m ɛ́/ɛ n n ù/u	1699	3272	1754	BRACELET	noun
3,559	0	JamsayGourou	bracelet	bracelet	bracelet	bracelet	jewelry/bracelet	bijoux/bracelet	mɛ́n	mɛ́n								mɛ́n	^ m ɛ́ n $	m ɛ́/ɛ n	m ɛ́/ɛ - n -	1699	3272	1754	BRACELET	noun
3,560	0	JamsayDouentza	bracelet	bracelet	bracelet	bracelet	jewelry/bracelet	bijoux/bracelet	mɛ́n, nùmò-kɔ̀rɔ́-mɛ̂n	mɛ́n								mɛ́n	^ m ɛ́ n $	m ɛ́/ɛ n	m ɛ́/ɛ - n -	1699	3272	1754	BRACELET	noun
3,560	1	JamsayDouentza	bracelet	bracelet					mɛ́n, nùmò-kɔ̀rɔ́-mɛ̂n	nùmò-kɔ̀rɔ́-mɛ̂n																noun
3,561	0	Mombo	bracelet	bracelet	bracelet	bracelet	jewelry/bracelet	bijoux/bracelet	nɛ̀: párù dúbè	nɛ̀: párù dúbè								nɛ̀:_párù_dúbè	^ n ɛ̀: _ p á r ù _ d ú b è $	n ɛ̀:/ɛː + p á/a r ù/u + d ú/u b è/e	n ɛ̀:/ɛː + p á/a r ù/u + d ú/u b è/e	1704	3270 3273 3274	1754	BRACELET	noun
3,562	0	BonduSoNajamba	bracelet	bracelet	bracelet	bracelet	jewelry/bracelet	bijoux/bracelet	nùmà-[sàgá-ŋgó]\\-sàgɛ́	nùmà-sàgá-ŋgó	nùmà--sàgɛ́							nùmà-	^ n ù m à $	n ù/u m à/a	n ù/u m à/a	1705	3275	1754	BRACELET	noun
3,563	0	Nanga	bracelet	bracelet	bracelet	bracelet	jewelry/bracelet	bijoux/bracelet	sártì, sárdì, nà:-sártì	sártì								sártì	^ s á r t ì $	s á/a r t ì/i	s á/a r t ì/i	1706	3276	1754	BRACELET	noun
3,563	1	Nanga	bracelet	bracelet					sártì, sárdì, nà:-sártì	sárdì																noun
3,563	2	Nanga	bracelet	bracelet					sártì, sárdì, nà:-sártì	nà:-sártì																noun
3,564	0	Penange	bracelet	bracelet	bracelet	bracelet	jewelry/bracelet	bijoux/bracelet	nɛ̀:-tɛ́nɛ̀	nɛ̀:-tɛ́nɛ̀								nɛ̀:-tɛ́nɛ̀	^ n ɛ̀: t ɛ́ n ɛ̀ $	n ɛ̀:/ɛː + t ɛ́/ɛ n ɛ̀/ɛ	n ɛ̀:/ɛː + t ɛ́/ɛ n ɛ̀/ɛ	1698	3270 3277	1754	BRACELET	noun
3,565	0	PergeTegu	bracelet	bracelet	bracelet	bracelet	jewelry/bracelet	bijoux/bracelet	nùwⁿò-sáddù	nùwⁿò-sáddù								nùwⁿò-sáddù	^ n ù wⁿ ò s á d d ù $	n ù/u w̃ ò/o + s á/a d d ù/u	n ù/u w̃ ò/o + s á/a d d ù/u	1708	3275 3276	1754	BRACELET	noun
3,566	0	TebulUre	bracelet	bracelet	bracelet	bracelet	jewelry/bracelet	bijoux/bracelet	mɛ̀nd-íyɛ́	mɛ̀nd-íyɛ́								mɛ̀nd-íyɛ́	^ m ɛ̀ nd í y ɛ́ $	m ɛ̀/ɛ ⁿd + í/i j ɛ́/ɛ	m ɛ̀/ɛ - ⁿd - + í/i j ɛ́/ɛ	1709	3272 3278	1754	BRACELET	noun
3,567	0	Tiranige	bracelet	bracelet	bracelet	bracelet	jewelry/bracelet	bijoux/bracelet	númá dùjɛ́	númá dùjɛ́								númá_dùjɛ́	^ n ú m á _ d ù j ɛ́ $	n ú/u m á/a + d ù/u dʒ ɛ́/ɛ	n ú/u m á/a + d ù/u dʒ ɛ́/ɛ	1705	3275 3279	1754	BRACELET	noun
3,568	0	TogoKan	bracelet	bracelet	bracelet	bracelet	jewelry/bracelet	bijoux/bracelet	nùmɔ̀-mɛ́n	nùmɔ̀-mɛ́n								nùmɔ̀-mɛ́n	^ n ù m ɔ̀ m ɛ́ n $	n ù/u m ɔ̀/ɔ + m ɛ́/ɛ n	n ù/u m ɔ̀/ɔ + m ɛ́/ɛ - n -	1705	3275 3272	1754	BRACELET	noun
3,569	0	TommoSoTongoTongo	bracelet	bracelet	bracelet	bracelet	jewelry/bracelet	bijoux/bracelet	nùmɔ́ wàrè-y, nùmɔ̀ kɔ̀kɔ́lɔ́ wàrè-y, sɛ́njɛ́	nù-mɔ́ wàrè-y								nùmɔ́_wàrè-y	^ n ù m ɔ́ _ w à r è y $	n ù/u m ɔ́/ɔ + w à/a r è/e + j	n ù/u m ɔ́/ɔ + w à/a r è/e + j	1705	3275 3280 3281	1754	BRACELET	noun
3,569	1	TommoSoTongoTongo	bracelet	bracelet					nùmɔ́ wàrè-y, nùmɔ̀ kɔ̀kɔ́lɔ́ wàrè-y, sɛ́njɛ́	nùmɔ̀ kɔ̀kɔ́lɔ́ wàrè-y																noun
3,569	2	TommoSoTongoTongo	bracelet	bracelet					nùmɔ́ wàrè-y, nùmɔ̀ kɔ̀kɔ́lɔ́ wàrè-y, sɛ́njɛ́	sɛ́njɛ́																noun
3,570	0	TomoKanSegue	bracelet	bracelet	bracelet	bracelet	jewelry/bracelet	bijoux/bracelet	sànjá	sànjá								sànjá	^ s à nj á $	s à/a ⁿdʒ á/a	s à/a - ⁿdʒ á/a	1706	3276	1754	BRACELET	noun
3,571	0	ToroTegu	bracelet	bracelet	bracelet	bracelet	jewelry/bracelet	bijoux/bracelet	lɔ́ tè:ⁿsù, té:ⁿsú	lɔ́ tè:ⁿsù								lɔ́_tè:ⁿsù	^ l ɔ́ _ t è:ⁿ s ù $	l ɔ́/ɔ + t è:ⁿ/ẽː s ù/u	l ɔ́/ɔ + t è:ⁿ/ẽː s ù/u	1714	3282 3283	1754	BRACELET	noun
3,571	1	ToroTegu	bracelet	bracelet					lɔ́ tè:ⁿsù, té:ⁿsú	té:ⁿsú																noun
3,572	0	YandaDom	bracelet	bracelet	bracelet	bracelet	jewelry/bracelet	bijoux/bracelet	nùmà-mɛ̀nú	nùmà-mɛ̀nú								nùmà-mɛ̀nú	^ n ù m à m ɛ̀ n ú $	n ù/u m à/a + m ɛ̀/ɛ n ú/u	n ù/u m à/a + m ɛ̀/ɛ - n ú/u	1705	3275 3272	1754	BRACELET	noun
3,573	0	YornoSo	bracelet	bracelet	bracelet	bracelet	jewelry/bracelet	bijoux/bracelet	nɔ̀yⁿ-[mɛ̀ni-ýⁿ]	nɔ̀yⁿ-mɛ̀ni-ýⁿ								nɔ̀yⁿ-	^ n ɔ̀ yⁿ $	n ɔ̀/ɔ jⁿ/j̃	n ɔ̀/ɔ jⁿ/j̃	1716	3284	1754	BRACELET	noun
3,574	0	BankanTey	necklace	collier	necklace	collier	jewelry/necklace	bijoux/collier	kɔ̀rɔ̀-dúwà	kɔ̀rɔ̀-dúwà								kɔ̀rɔ̀-dúwà	^ k ɔ̀ r ɔ̀ d ú w à $	k ɔ̀/ɔ r ɔ̀/ɔ + d ú/u w à/a	k ɔ̀/ɔ - r ɔ̀/ɔ + d ú/u w à/a - -	6644	12837 12838	1961	NECKLACE	noun
3,575	0	BenTey	necklace	collier	necklace	collier	jewelry/necklace	bijoux/collier	kɔ̀rɔ̀ dúwɔ̀	kɔ̀rɔ̀ dúwɔ̀								kɔ̀rɔ̀_dúwɔ̀	^ k ɔ̀ r ɔ̀ _ d ú w ɔ̀ $	k ɔ̀/ɔ r ɔ̀/ɔ + d ú/u w ɔ̀/ɔ	k ɔ̀/ɔ - r ɔ̀/ɔ + d ú/u w ɔ̀/ɔ - -	6644	12837 12838	1961	NECKLACE	noun
3,576	0	Bunoge	necklace	collier	necklace	collier	jewelry/necklace	bijoux/collier	kɔ́llɛ̀	kɔ́llɛ̀								kɔ́llɛ̀	^ k ɔ́ l l ɛ̀ $	k ɔ́/ɔ l l ɛ̀/ɛ	k ɔ́/ɔ l l ɛ̀/ɛ	6646	12837	1961	NECKLACE	noun
3,577	0	DogulDomBendiely	necklace	collier	necklace	collier	jewelry/necklace	bijoux/collier	dùgéégù	dùgéégù								dùgéégù	^ d ù g éé g ù $	d ù/u ɡ éé/eː ɡ ù/u	d ù/u ɡ éé/eː ɡ ù/u	6647	12838	1961	NECKLACE	noun
3,578	0	DogulDomKundialang	necklace	collier	necklace	collier	jewelry/necklace	bijoux/collier	dùg-ɛ̌:g	dùg-ɛ̌:g								dùg-ɛ̌:g	^ d ù g ɛ̌: g $	d ù/u ɡ + ɛ̌:/ɛː ɡ	d ù/u ɡ - - - + ɛ̌:/ɛː ɡ	6648	12838 12839	1961	NECKLACE	noun
3,579	0	DonnoSo	necklace	collier	necklace	collier	jewelry/necklace	bijoux/collier	dùgɛ̌y	dùgɛ̌y								dùgɛ̌y	^ d ù g ɛ̌ y $	d ù/u ɡ ɛ̌/ɛ j	d ù/u ɡ ɛ̌/ɛ j -	6647	12838	1961	NECKLACE	noun
3,580	0	JamsayGourou	necklace	collier	necklace	collier	jewelry/necklace	bijoux/collier	dùgɔ́	dùgɔ́								dùgɔ́	^ d ù g ɔ́ $	d ù/u ɡ ɔ́/ɔ	d ù/u ɡ ɔ́/ɔ - -	6647	12838	1961	NECKLACE	noun
3,581	0	JamsayDouentza	necklace	collier	necklace	collier	jewelry/necklace	bijoux/collier	dúgɔ́, kɔ̀rɔ́-dúgɔ̀	dúgɔ́								dúgɔ́	^ d ú g ɔ́ $	d ú/u ɡ ɔ́/ɔ	d ú/u ɡ ɔ́/ɔ - -	6647	12838	1961	NECKLACE	noun
3,581	1	JamsayDouentza	necklace	collier					dúgɔ́, kɔ̀rɔ́-dúgɔ̀	kɔ̀rɔ́-dúgɔ̀																noun
3,582	0	Mombo	necklace	collier	necklace	collier	jewelry/necklace	bijoux/collier	kí:ŋgú	kí:ŋgú								kí:ŋgú	^ k í: ŋ g ú $	k í:/iː ŋ ɡ ú/u	k í:/iː ŋ ɡ ú/u	6652	12840	1961	NECKLACE	noun
3,583	0	BonduSoNajamba	necklace	collier	necklace	collier	jewelry/necklace	bijoux/collier	dúgà:\\dúgɛ̀:	dúgà:	dúgɛ̀:							dúgà:	^ d ú g à: $	d ú/u ɡ à:/aː	d ú/u ɡ à:/aː - -	6647	12838	1961	NECKLACE	noun
3,584	0	Nanga	necklace	collier	necklace	collier	jewelry/necklace	bijoux/collier	dùgà-ǹjâ	dùgà-ǹjâ								dùgà-ǹjâ	^ d ù g à ǹ j â $	d ù/u ɡ à/a + ǹ/n dʒ â/a	d ù/u ɡ à/a - - + ǹ/n dʒ â/a	6647	12838 12841	1961	NECKLACE	noun
3,585	0	Penange	necklace	collier	necklace	collier	jewelry/necklace	bijoux/collier	páryè	páryè								páryè	^ p á r y è $	p á/a r j è/e	p á/a r j è/e	6655	12842	1961	NECKLACE	noun
3,586	0	PergeTegu	necklace	collier	necklace	collier	jewelry/necklace	bijoux/collier	dùgɔ̀-î:ⁿ, dùgɔ̀-ì:ⁿ-kɔ̀rɔ́	dùgɔ̀-î:ⁿ								dùgɔ̀-î:ⁿ	^ d ù g ɔ̀ î:ⁿ $	d ù/u ɡ ɔ̀/ɔ + î:ⁿ/ĩː	d ù/u ɡ ɔ̀/ɔ - - + î:ⁿ/ĩː	6647	12838 12843	1961	NECKLACE	noun
3,586	1	PergeTegu	necklace	collier					dùgɔ̀-î:ⁿ, dùgɔ̀-ì:ⁿ-kɔ̀rɔ́	dùgɔ̀-ì:ⁿ-kɔ̀rɔ́																noun
3,587	0	TebulUre	necklace	collier	necklace	collier	jewelry/necklace	bijoux/collier	dùgà-íyɛ̀	dùgà-íyɛ̀								dùgà-íyɛ̀	^ d ù g à í y ɛ̀ $	d ù/u ɡ à/a + í/i j ɛ̀/ɛ	d ù/u ɡ à/a - - + í/i j ɛ̀/ɛ	6647	12838 12844	1961	NECKLACE	noun
3,588	0	Tiranige	necklace	collier	necklace	collier	jewelry/necklace	bijoux/collier	dùjɛ̀	dùjɛ̀								dùjɛ̀	^ d ù j ɛ̀ $	d ù/u dʒ ɛ̀/ɛ	d ù/u dʒ ɛ̀/ɛ	6647	12845	1961	NECKLACE	noun
3,589	0	TogoKan	necklace	collier	necklace	collier	jewelry/necklace	bijoux/collier	kɔ̀rɔ̀-dìŋɛ̌:	kɔ̀rɔ̀-dìŋɛ̌:								kɔ̀rɔ̀-dìŋɛ̌:	^ k ɔ̀ r ɔ̀ d ì ŋ ɛ̌: $	k ɔ̀/ɔ r ɔ̀/ɔ + d ì/i ŋ ɛ̌:/ɛː	k ɔ̀/ɔ - r ɔ̀/ɔ + d ì/i ŋ ɛ̌:/ɛː	6644	12837 12846	1961	NECKLACE	noun
3,590	0	TommoSoTongoTongo	necklace	collier	necklace	collier	jewelry/necklace	bijoux/collier	dúgɔ́	dúgɔ́								dúgɔ́	^ d ú g ɔ́ $	d ú/u ɡ ɔ́/ɔ	d ú/u ɡ ɔ́/ɔ - -	6647	12838	1961	NECKLACE	noun
3,591	0	TomoKanSegue	necklace	collier	necklace	collier	jewelry/necklace	bijoux/collier	jìgèⁿ, kɔ̀lɔ̀-jìgèⁿ	jìgèⁿ								jìgèⁿ	^ j ì g èⁿ $	dʒ ì/i ɡ èⁿ/ẽ	dʒ ì/i ɡ èⁿ/ẽ - -	6647	12838	1961	NECKLACE	noun
3,591	1	TomoKanSegue	necklace	collier					jìgèⁿ, kɔ̀lɔ̀-jìgèⁿ	kɔ̀lɔ̀-jìgèⁿ																noun
3,592	0	ToroTegu	necklace	collier	necklace	collier	jewelry/necklace	bijoux/collier	dùgɔ́	dùgɔ́								dùgɔ́	^ d ù g ɔ́ $	d ù/u ɡ ɔ́/ɔ	d ù/u ɡ ɔ́/ɔ - -	6647	12838	1961	NECKLACE	noun
3,593	0	YandaDom	necklace	collier	necklace	collier	jewelry/necklace	bijoux/collier	kɔ̀lɔ̀-dùgɔ̌y, kɔ̀lɔ̀-dùgá	kɔ̀lɔ̀-dùgɔ̌y								kɔ̀lɔ̀-dùgɔ̌y	^ k ɔ̀ l ɔ̀ d ù g ɔ̌ y $	k ɔ̀/ɔ l ɔ̀/ɔ + d ù/u ɡ ɔ̌/ɔ j	k ɔ̀/ɔ - l ɔ̀/ɔ + d ù/u ɡ ɔ̌/ɔ j -	6644	12837 12838	1961	NECKLACE	noun
3,593	1	YandaDom	necklace	collier					kɔ̀lɔ̀-dùgɔ̌y, kɔ̀lɔ̀-dùgá	kɔ̀lɔ̀-dùgá																noun
3,594	0	YornoSo	necklace	collier	necklace	collier	jewelry/necklace	bijoux/collier	dùgɔ̀-ý, dúgɔ́	dùgɔ̀-ý								dùgɔ̀-ý	^ d ù g ɔ̀ ý $	d ù/u ɡ ɔ̀/ɔ + j́/j	d ù/u ɡ ɔ̀/ɔ - - + j́/j	6647	12838 12847	1961	NECKLACE	noun
3,594	1	YornoSo	necklace	collier					dùgɔ̀-ý, dúgɔ́	dúgɔ́																noun
3,595	0	BankanTey	earring	boucle d'oreille	earring	boucle	jewelry/earring	bijoux/boucle d'oreille	sùn-ɲírⁿéy, sùn jí:dì	sùn-ɲírⁿéy								sùn-ɲírⁿéy	^ s ù n ɲ í rⁿ é y $	s ù/u n + ɲ/ɲ í/i r̃ é/e j	s ù/u n - - - + ɲ/ɲ í/i r̃ é/e j	3278	6379 6380	770	EARRING	noun
3,595	1	BankanTey	earring	boucle d'oreille					sùn-ɲírⁿéy, sùn jí:dì	sùn jí:dì																noun
3,596	0	BenTey	earring	boucle d'oreille	earring	boucle	jewelry/earring	bijoux/boucle d'oreille	sù:rⁿù búkúlî:	sù:rⁿù búkúlî:								sù:rⁿù_búkúlî:	^ s ù: rⁿ ù _ b ú k ú l î: $	s ùː/uː r̃ ù/u + b ú/u k ú/u l î:/iː	s ùː/uː - - r̃ ù/u + b ú/u - k ú/u l î:/iː	3279	6379 6381	770	EARRING	noun
3,597	0	DogulDomBendiely	earring	boucle d'oreille	earring	boucle	jewelry/earring	bijoux/boucle d'oreille	káŋè	káŋè								káŋè	^ k á ŋ è $	k á/a ŋ è/e	k á/a ŋ è/e	3280	6382	770	EARRING	noun
3,598	0	DogulDomKundialang	earring	boucle d'oreille	earring	boucle	jewelry/earring	bijoux/boucle d'oreille	búgùl	búgùl								búgùl	^ b ú g ù l $	b ú/u ɡ ù/u l	b ú/u - ɡ ù/u l -	3279	6381	770	EARRING	noun
3,599	0	DonnoSo	earring	boucle d'oreille	earring	boucle	jewelry/earring	bijoux/boucle d'oreille	búgùlù	búgùlù								búgùlù	^ b ú g ù l ù $	b ú/u ɡ ù/u l ù/u	b ú/u - ɡ ù/u l ù/u	3279	6381	770	EARRING	noun
3,600	0	JamsayGourou	earring	boucle d'oreille	earring	boucle	jewelry/earring	bijoux/boucle d'oreille	sùŋùn gídù	sùŋùn gídù								sùŋùn_gídù	^ s ù ŋ ù n _ g í d ù $	s ù/u ŋ ù/u n + ɡ í/i d ù/u	s ù/u ŋ ù/u n - + ɡ í/i d ù/u	3283	6379 6383	770	EARRING	noun
3,601	0	JamsayDouentza	earring	boucle d'oreille	earring	boucle	jewelry/earring	bijoux/boucle d'oreille	búkúlù, sûn-búkúlù	búkúlù								búkúlù	^ b ú k ú l ù $	b ú/u k ú/u l ù/u	b ú/u - k ú/u l ù/u	3279	6381	770	EARRING	noun
3,601	1	JamsayDouentza	earring	boucle d'oreille					búkúlù, sûn-búkúlù	sûn-búkúlù																noun
3,602	0	Mombo	earring	boucle d'oreille	earring	boucle	jewelry/earring	bijoux/boucle d'oreille	sùgùlè tùlé	sùgùlè tùlé								sùgùlè_tùlé	^ s ù g ù l è _ t ù l é $	s ù/u ɡ ù/u l è/e + t ù/u l é/e	s ù/u - ɡ ù/u l è/e + t ù/u l é/e	3285	6381 6384	770	EARRING	noun
3,603	0	BonduSoNajamba	earring	boucle d'oreille	earring	boucle	jewelry/earring	bijoux/boucle d'oreille	sùn-[sàgá-ŋgó]\\-sàgɛ́	sùn-sàgá-ŋgó	sùn-sàgɛ́							sùn-	^ s ù n $	s ù/u n	s ù/u n - - -	3280	6379	770	EARRING	noun
3,604	0	Nanga	earring	boucle d'oreille	earring	boucle	jewelry/earring	bijoux/boucle d'oreille	sùŋùrⁿù-[gèrè-gárá]	sùŋùrⁿù-gèrè-gárá								sùŋùrⁿù-	^ s ù ŋ ù rⁿ ù $	s ù/u ŋ ù/u r̃ ù/u	s ù/u ŋ ù/u r̃ ù/u	3280	6379	770	EARRING	noun
3,605	0	Penange	earring	boucle d'oreille	earring	boucle	jewelry/earring	bijoux/boucle d'oreille	búkkûl	búkkûl								búkkûl	^ b ú k k û l $	b ú/u k k û/u l	b ú/u k k û/u l -	3279	6381	770	EARRING	noun
3,606	0	PergeTegu	earring	boucle d'oreille	earring	boucle	jewelry/earring	bijoux/boucle d'oreille	sùŋùrⁿù-gélgé	sùŋùrⁿù-gélgé								sùŋùrⁿù-gélgé	^ s ù ŋ ù rⁿ ù g é l g é $	s ù/u ŋ ù/u r̃ ù/u + ɡ é/e l ɡ é/e	s ù/u ŋ ù/u r̃ ù/u + ɡ é/e l ɡ é/e	3283	6379 6385	770	EARRING	noun
3,607	0	TebulUre	earring	boucle d'oreille	earring	boucle	jewelry/earring	bijoux/boucle d'oreille	sùnò-[mɛ̀nd-íyɛ́]	sùnò-mɛ̀nd-íyɛ́								sùnò-	^ s ù n ò $	s ù/u n ò/o	s ù/u n ò/o - -	3280	6379	770	EARRING	noun
3,608	0	Tiranige	earring	boucle d'oreille	earring	boucle	jewelry/earring	bijoux/boucle d'oreille	sùŋùnù-[yèlè-yèlé]	sùŋùnù-yèlè-yèlé								sùŋùnù-	^ s ù ŋ ù n ù $	s ù/u ŋ ù/u n ù/u	s ù/u ŋ ù/u n ù/u	3280	6379	770	EARRING	noun
3,609	0	TogoKan	earring	boucle d'oreille	earring	boucle	jewelry/earring	bijoux/boucle d'oreille	sùgùrù-jè:lé	sùgùrù-jè:lé								sùgùrù-jè:lé	^ s ù g ù r ù j è: l é $	s ù/u ɡ ù/u r ù/u + dʒ è:/eː l é/e	s ù/u ɡ ù/u r ù/u + dʒ è:/eː l é/e	3285	6379 6384	770	EARRING	noun
3,610	0	TommoSoTongoTongo	earring	boucle d'oreille	earring	boucle	jewelry/earring	bijoux/boucle d'oreille	sùgùlù jèlè-ý	sùgù-lù jè-lè-ý								sùgùlù_jèlè-ý	^ s ù g ù l ù _ j è l è ý $	s ù/u ɡ ù/u l ù/u + dʒ è/e l è/e + j́/j	s ù/u - ɡ ù/u l ù/u + dʒ è/e l è/e + j́/j	3285	6381 6384 6386	770	EARRING	noun
3,611	0	TomoKanSegue	earring	boucle d'oreille	earring	boucle	jewelry/earring	bijoux/boucle d'oreille	sùgù-jìgèⁿ	sùgù-jìgèⁿ								sùgù-jìgèⁿ	^ s ù g ù j ì g èⁿ $	s ù/u ɡ ù/u + dʒ ì/i ɡ èⁿ/ẽ	s ù/u ɡ - - ù/u + dʒ ì/i ɡ èⁿ/ẽ	3285	6379 6384	770	EARRING	noun
3,612	0	ToroTegu	earring	boucle d'oreille	earring	boucle	jewelry/earring	bijoux/boucle d'oreille	súgúrú lìsà	súgúrú lìsà								súgúrú_lìsà	^ s ú g ú r ú _ l ì s à $	s ú/u ɡ ú/u r ú/u + l ì/i s à/a	s ú/u ɡ ú/u r ú/u + l ì/i s à/a	3285	6379 6387	770	EARRING	noun
3,613	0	YandaDom	earring	boucle d'oreille	earring	boucle	jewelry/earring	bijoux/boucle d'oreille	sún-zèrégè	sún-zèrégè								sún-zèrégè	^ s ú n z è r é g è $	s ú/u n + z è/e r é/e ɡ è/e	s ú/u n - - - + z è/e r é/e ɡ è/e	3278	6379 6388	770	EARRING	noun
3,614	0	YornoSo	earring	boucle d'oreille	earring	boucle	jewelry/earring	bijoux/boucle d'oreille	jèlè-jálá	jèlè-jálá								jèlè-jálá	^ j è l è j á l á $	dʒ è/e l è/e + dʒ á/a l á/a	dʒ è/e l è/e + dʒ á/a l á/a	3297	6384 6389	770	EARRING	noun
3,615	0	BankanTey	ring (on finger)	bague, anneau (de doigt)	ring	anneau	jewelry/ring	bijoux/bague	nà:-sǎ:	nà:-sǎ:								nà:-sǎ:	^ n à: s ǎ: $	n à:/aː + s ǎ:/aː	n à:/aː + s ǎ:/aː - -	7876	15307 15308	1374	RING	noun
3,616	0	BenTey	ring (on finger)	bague, anneau (de doigt)	ring	anneau	jewelry/ring	bijoux/bague	nà:-sì-mɛ́:ní:, nà:-sàɣá	nà:-sì-mɛ́:ní:								nà:-sì-mɛ́:ní:	^ n à: s ì m ɛ́: n í: $	n à:/aː + s ì/i + m ɛ́:/ɛː n í:/iː	n à:/aː + s ì/i - - + m ɛ́:/ɛː - n í:/iː	7876	15307 15308 15309	1374	RING	noun
3,616	1	BenTey	ring (on finger)	bague, anneau (de doigt)					nà:-sì-mɛ́:ní:, nà:-sàɣá	nà:-sàɣá																noun
3,617	0	Bunoge	ring (on finger)	bague, anneau (de doigt)	ring	anneau	jewelry/ring	bijoux/bague	nùmɛ́-sǐ:wò	nùmɛ́-sǐ:wò								nùmɛ́-sǐ:wò	^ n ù m ɛ́ s ǐ: w ò $	n ù/u m ɛ́/ɛ + s ǐ:/iː w ò/o	n ù/u m ɛ́/ɛ + s ǐ:/iː w ò/o	7878	15310 15308	1374	RING	noun
