ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT
6388	Tiranige	corner (internal)	ɛ́ɛ́lɛ́	ɛ́ɛ́ l ɛ́	3477	ɛ́ɛ́ l ɛ́
6389	TogoKan	corner (internal)	bɔ̀ŋú	b ɔ̀ ŋ ú	3478	b ɔ̀ ŋ ú
6390	TogoKan	corner (internal)	lòlò+gùjó	l ò l ò + g ù j ó	3474	l ò l ò + g ù j ó
6391	TommoSoTongoTongo	corner (internal)	gìnɛ̀+sìbɛ́	g ì n ɛ̀ + s ì b ɛ́	3479	g ì n ɛ̀ + s ì b ɛ́
6392	ToroTegu	corner (internal)	pɛ̀tí	p ɛ̀ t í	3480	p ɛ̀ t í
6393	YornoSo	corner (internal)	lògò+jòý	l ò g ò + j ò ý	3481	l ò g ò + j ò ý
3798	Ampari	cotton	kùráá+ndè	k ù r áá + n d è	3483	k ù r áá + n d è
3799	Ampari	cotton	à+ndá+sàrà+kùráá+ndè	à + n d á + s à r à + k ù r áá + n d è	3506	à + n d á + s à r à + k ù r áá + n d è
3800	BankanTey	cotton	nà+mú	n à + m ú	3484	n à - + m - ú
3801	BenTey	cotton	nàà+mbú	n àà + m b ú	3484	n àà - + m b ú
3802	BenTey	cotton	nàà+mú	n àà + m ú	3484	n àà - + m - ú
3803	Bunoge	cotton	kɔ́ɔ́+ndè	k ɔ́ɔ́ + n d è	3483	k ɔ́ɔ́ - - + n d è
3804	DogulDomBendiely	cotton	kɛ̀ɲ+ɲɛ́	k ɛ̀ ɲ + ɲ ɛ́	3488	k ɛ̀ ɲ + ɲ ɛ́
3805	DogulDomKundialang	cotton	kɛ̀ɲ+ɲɛ́	k ɛ̀ ɲ + ɲ ɛ́	3488	k ɛ̀ ɲ + ɲ ɛ́
3806	DonnoSo	cotton	kɛ̀m+nɛ̌y	k ɛ̀ m + n ɛ̌y	3488	k ɛ̀ m + n ɛ̌y
3807	JamsayGourou	cotton	nàà+mú	n àà + m ú	3484	n àà - + m - ú
3808	JamsayDouentza	cotton	nàá+m	n à á + m	3484	n à á + m - -
3809	JamsayMondoro	cotton	nàá+m	n à á + m	3484	n à á + m - -
3810	Mombo	cotton	kɔ́ɔ́+ndí	k ɔ́ɔ́ + n d í	3483	k ɔ́ɔ́ - - + n d í
3811	BonduSoNajamba	cotton	sá+gò	s á + g ò	3486	s á + g ò
3812	Nanga	cotton	nàà+mbí	n àà + m b í	3484	n àà - + m b í
3813	Penange	cotton	kɔ́ɔ́+ndè	k ɔ́ɔ́ + n d è	3483	k ɔ́ɔ́ - - + n d è
3814	PergeTegu	cotton	nàà+mbú	n àà + m b ú	3484	n àà - + m b ú
3815	TebulUre	cotton	cɛ̀m+dɛ́	c ɛ̀ m + d ɛ́	3498	c ɛ̀ m + d ɛ́
3816	Tiranige	cotton	kɔ̀ɔ̀ní	k ɔ̀ɔ̀ n í	3499	k ɔ̀ɔ̀ n í
3817	TogoKan	cotton	kɔ́nú	k ɔ́ n ú	3499	k ɔ́ n ú
3818	TommoSoTongoTongo	cotton	kɛ̀ɲ+ɲɛ́	k ɛ̀ ɲ + ɲ ɛ́	3488	k ɛ̀ ɲ + ɲ ɛ́
3819	TomoKanSegue	cotton	kùní	k ù n í	3499	k ù n í
3820	ToroTegu	cotton	nǎ+m	n ǎ + m	3484	n ǎ - + m - -
3821	YandaDom	cotton	cèɲè	c è ɲ è	3504	c è ɲ è
3822	YandaDom	cotton	cɛ̀ɲɛ̀	c ɛ̀ ɲ ɛ̀	3504	c ɛ̀ ɲ ɛ̀
3823	YornoSo	cotton	nà+mú	n à + m ú	3484	n à - + m - ú
2635	BankanTey	cough (verb only)	kós+í+yé	k ó s + í + y é	3507	k ó s + í + y é
2636	BenTey	cough (verb only)	kóg+ú+só	k ó g + ú + s ó	3508	k ó g + ú + s ó
2637	Bunoge	cough (verb only)	tíg+è	t í g + è	3510	t í g + è
2638	DogulDomKundialang	cough (verb only)	kós+gè	k ó s + g è	3511	k ó s + - - g è - -
2639	DonnoSo	cough (verb only)	kód+ù+gè+è	k ó d + ù + g è + è	3511	k ó d + ù + g è + è
2640	JamsayGourou	cough (verb only)	kóg+ú+zó	k ó g + ú + z ó	3508	k ó g + ú + z ó
2641	JamsayDouentza	cough (verb only)	kóg+ó+jó	k ó g + ó + j ó	3508	k ó g + ó + j ó
2642	JamsayMondoro	cough (verb only)	kóg+ó+jó	k ó g + ó + j ó	3508	k ó g + ó + j ó
2643	Mombo	cough (verb only)	kór+ó+lè	k ó r + ó + l è	3516	k ó r + ó + l è
2644	BonduSoNajamba	cough (verb only)	kól+lí	k ó l + l í	3509	k ó l + l í
2645	Nanga	cough (verb only)	kós+ó	k ó s + ó	3507	k ó s + ó - - -
2646	Penange	cough (verb only)	kór+ó+dè	k ó r + ó + d è	3516	k ó r + ó + d è
2647	PergeTegu	cough (verb only)	kók+ú+só	k ó k + ú + s ó	3508	k ó k + ú + s ó
2648	TebulUre	cough (verb only)	kón+ó	k ó n + ó	3520	k ó n + ó
2649	Tiranige	cough (verb only)	kór+ó+dó	k ó r + ó + d ó	3516	k ó r + ó + d ó
2650	TogoKan	cough (verb only)	kój+ù+gù	k ó j + ù + g ù	3511	k ó j + ù + g ù - -
2651	TogoKan	cough (verb only)	kóg+ù+jù	k ó g + ù + j ù	3508	k ó g + ù + j ù
2652	TomoKanDiangassagou	cough (verb only)	kúg+ú+jí	k ú g + ú + j í	3508	k ú g + ú + j í
2653	TomoKanSegue	cough (verb only)	kùʔ+ì+jí	k ù ʔ + ì + j í	3508	k ù ʔ + ì + j í
2654	ToroTegu	cough (verb only)	kós+í+yó	k ó s + í + y ó	3507	k ó s + í + y ó
2655	YandaDom	cough (verb only)	kónd+ún+ó	k ó n d + ú n + ó	3526	k ó n d + ú n + ó
2656	YornoSo	cough (verb only)	kój+ú+gɛ́	k ó j + ú + g ɛ́	3511	k ó j + ú + g ɛ́ - -
11845	BankanTey	count, recite numbers	lùw+óò+lúw+ó	l ù w + ó ò + l ú w + ó	3527	l ù w + ó ò + l ú w + ó
11846	Bunoge	count, recite numbers	díg+ó+rùd+ígór+è	d í g + ó + r ù d + í g ó r + è	3529	d í g + ó + r ù d + í g ó r + è
11847	DogulDomKundialang	count, recite numbers	nùg+é	n ù g + é	3530	n ù g + é
11848	DogulDomKundialang	count, recite numbers	jàt+é	j à t + é	3544	- - - - - - j à t + é
11849	DonnoSo	count, recite numbers	yùg+éè+yùg+ó	y ù g + é è + y ù g + ó	3531	y ù g + é è + y ù g + ó
11850	JamsayGourou	count, recite numbers	lùg+ó+lúg+ó	l ù g + ó + l ú g + ó	3527	l ù g + ó - + l ú g + ó
11851	JamsayDouentza	count, recite numbers	lùg+ó+lúg+ó	l ù g + ó + l ú g + ó	3527	l ù g + ó - + l ú g + ó
11852	Mombo	count, recite numbers	nóg+é	n ó g + é	3530	n ó g + é
11853	BonduSoNajamba	count, recite numbers	nìg+ì+lŋg+án+nìg+íl	n ì g + ì + l ŋ g + á n + n ì g + í l	3528	n ì g + ì + l ŋ g + á n + n ì g + í l
11854	BonduSoNajamba	count, recite numbers	ját+ɛ̀+ját+ɛ́	j á t + ɛ̀ + j á t + ɛ́	3544	j á t + ɛ̀ + j á t + ɛ́
11855	Nanga	count, recite numbers	lùg+ô+lúg+ó	l ù g + ô + l ú g + ó	3527	l ù g + ô - + l ú g + ó
11856	Penange	count, recite numbers	nùg+ù+núg+é	n ù g + ù + n ú g + é	3536	n ù g + ù + n ú g + é
11857	PergeTegu	count, recite numbers	lùg+ó+lúg+ó	l ù g + ó + l ú g + ó	3527	l ù g + ó - + l ú g + ó
11858	Tiranige	count, recite numbers	núg+ó	n ú g + ó	3530	n ú g + ó
11859	TogoKan	count, recite numbers	lùg+ó+lúg+ó	l ù g + ó + l ú g + ó	3527	l ù g + ó - + l ú g + ó
11860	TommoSoTongoTongo	count, recite numbers	nìg+í+yén+ígé	n ì g + í + y é n + í g é	3540	n ì g + í + y é n + í g é
11861	ToroTegu	count, recite numbers	lúg+ó	l ú g + ó	3530	l ú g + ó
11862	YandaDom	count, recite numbers	lùg+ò+lùg+ó	l ù g + ò + l ù g + ó	3527	l ù g + ò - + l ù g + ó
11863	YornoSo	count, recite numbers	lùg+éè+lúg+ó	l ù g + é è + l ú g + ó	3527	l ù g + é è + l ú g + ó
6535	BankanTey	country, land	òzǒy	ò z ǒy	3545	ò z ǒy
6536	BenTey	country, land	ònjǒ+y	ò n j ǒ + y	3546	ò n j ǒ + y
6537	Bunoge	country, land	gà+ndà	g à + n d à	3548	g à + n d à
6538	DogulDomBendiely	country, land	jàmá+ná	j à m á + n á	3549	j à m á + n á
6539	DogulDomKundialang	country, land	jàmà+ná	j à m à + n á	3549	j à m à + n á
6540	DonnoSo	country, land	gá+ndà	g á + n d à	3548	g á + n d à
6541	JamsayGourou	country, land	gáná	g á n á	3553	g á n á
6542	JamsayDouentza	country, land	ùjùbǎ+y	ù j ù b ǎ + y	3552	ù j ù b ǎ + y
6543	JamsayDouentza	country, land	ìjùbǎ+y	ì j ù b ǎ + y	3552	ì j ù b ǎ + y
6544	JamsayDouentza	country, land	gáná	g á n á	3553	g á n á
6545	Mombo	country, land	gá+ndá	g á + n d á	3548	g á + n d á
6546	BonduSoNajamba	country, land	gwàá	g w à á	3547	g w à á
6547	Nanga	country, land	dòrⁿó	d ò rⁿ ó	3555	d ò rⁿ ó
6548	Nanga	country, land	dɔ̀rⁿɔ́	d ɔ̀ rⁿ ɔ́	3555	d ɔ̀ rⁿ ɔ́
6549	Nanga	country, land	dùrⁿɔ́	d ù rⁿ ɔ́	3555	d ù rⁿ ɔ́
6550	Penange	country, land	gá+ndà	g á + n d à	3548	g á + n d à
6551	PergeTegu	country, land	ùsùbǎ+y	ù s ù b ǎ + y	3552	ù s ù b ǎ + y
6552	TebulUre	country, land	gá+ndá	g á + n d á	3548	g á + n d á
6553	Tiranige	country, land	gà+ndá	g à + n d á	3548	g à + n d á
6554	TogoKan	country, land	gáná	g á n á	3553	g á n á
6555	TommoSoTongoTongo	country, land	yàlú	y à l ú	3561	y à l ú
6556	ToroTegu	country, land	ìsó	ì s ó	3545	ì s ó
6557	YandaDom	country, land	gàná	g à n á	3553	g à n á
6558	YornoSo	country, land	gánà	g á n à	3553	g á n à
13854	BankanTey	cover the opening of (e.g. jar, with e.g. a cloth)	dɛ́w+â	d ɛ́ w + â	3562	d ɛ́ w + â
13855	BenTey	cover the opening of (e.g. jar, with e.g. a cloth)	dɛ̌w	d ɛ̌ w	3562	d ɛ̌ w - -
13856	BenTey	cover the opening of (e.g. jar, with e.g. a cloth)	gòr+ó	g ò r + ó	3571	g ò r + ó
13857	DogulDomBendiely	cover the opening of (e.g. jar, with e.g. a cloth)	yàmb+ùr+ɛ́	y à m b + ù r + ɛ́	3564	y à m b + ù r + ɛ́
13858	DonnoSo	cover the opening of (e.g. jar, with e.g. a cloth)	yɛ̀mb+ɛ̀r+ɛ́	yɛ̀ m b + ɛ̀ r + ɛ́	3564	yɛ̀ - m b + ɛ̀ r + ɛ́
13859	JamsayDouentza	cover the opening of (e.g. jar, with e.g. a cloth)	dɛ̀w+ɛ́�+gòr+ó	d ɛ̀ w + ɛ́ � + g ò r + ó	3567	d ɛ̀ w + ɛ́ � + g ò r + ó
13860	JamsayDouentza	cover the opening of (e.g. jar, with e.g. a cloth)	dɛ̀w+ɛ́�+gòr+ó	d ɛ̀ w + ɛ́ � + g ò r + ó	3567	d ɛ̀ w + ɛ́ � + g ò r + ó
13861	Mombo	cover the opening of (e.g. jar, with e.g. a cloth)	dɛ́b+ɛ́	d ɛ́ b + ɛ́	3568	d ɛ́ b + ɛ́
13862	BonduSoNajamba	cover the opening of (e.g. jar, with e.g. a cloth)	yàmb+è	y à m b + è	3564	y à m b + è - - -
13863	Nanga	cover the opening of (e.g. jar, with e.g. a cloth)	dɛ̀w+í	d ɛ̀ w + í	3562	d ɛ̀ w + í
13864	PergeTegu	cover the opening of (e.g. jar, with e.g. a cloth)	dɛ̀w+ɛ́	d ɛ̀ w + ɛ́	3562	d ɛ̀ w + ɛ́
13865	TogoKan	cover the opening of (e.g. jar, with e.g. a cloth)	gòr+ó	g ò r + ó	3571	g ò r + ó
13866	TommoSoTongoTongo	cover the opening of (e.g. jar, with e.g. a cloth)	yàmb+á	y à m b + á	3564	y à m b + á - - -
13867	ToroTegu	cover the opening of (e.g. jar, with e.g. a cloth)	dàp+á	d à p + á	3568	d à p + á
13868	YandaDom	cover the opening of (e.g. jar, with e.g. a cloth)	dà+á	d à + á	3574	d à + á
13869	YornoSo	cover the opening of (e.g. jar, with e.g. a cloth)	dɛ̀b+ɛ́	d ɛ̀ b + ɛ́	3568	d ɛ̀ b + ɛ́
4887	BenTey	covered oven (for roasting meat, chicken, etc.)	ù+gíì	ù + g í ì	3575	ù + g í ì
4888	DogulDomBendiely	covered oven (for roasting meat, chicken, etc.)	tɛ́+ndɛ̀+rɛ̀	t ɛ́ + n d ɛ̀ + r ɛ̀	3577	t ɛ́ + n d ɛ̀ + r ɛ̀
4889	JamsayDouentza	covered oven (for roasting meat, chicken, etc.)	ù+gú	ù + g ú	3575	ù + g ú -
4890	JamsayDouentza	covered oven (for roasting meat, chicken, etc.)	fûfû+r	f û f û + r	3576	f û f û + r -
4891	Mombo	covered oven (for roasting meat, chicken, etc.)	sìb+yé	s ì b + y é	3579	s ì b + y é
4892	BonduSoNajamba	covered oven (for roasting meat, chicken, etc.)	fûfû+r	f û f û + r	3576	f û f û + r -
4893	Nanga	covered oven (for roasting meat, chicken, etc.)	púpú+rì	p ú p ú + r ì	3576	p ú p ú + r ì
4894	PergeTegu	covered oven (for roasting meat, chicken, etc.)	púpú+rù	p ú p ú + r ù	3576	p ú p ú + r ù
4895	TogoKan	covered oven (for roasting meat, chicken, etc.)	fúfú+r	f ú f ú + r	3576	f ú f ú + r -
4896	TommoSoTongoTongo	covered oven (for roasting meat, chicken, etc.)	púúrú	p úú r ú	3583	p úú r ú
4897	TommoSoTongoTongo	covered oven (for roasting meat, chicken, etc.)	nàmàù+gú	n à m à ù + g ú	3586	n à m à ù + g ú
4898	YornoSo	covered oven (for roasting meat, chicken, etc.)	nàwⁿà+pùŋú	n à wⁿ à + p ù ŋ ú	3584	n à wⁿ à + p ù ŋ ú
99	BenTey	cow (female)	nààyǎ+m	n àà y ǎ + m	3587	n àà y - ǎ + m
100	JamsayDouentza	cow (female)	nàŋà+náá	n à ŋ à + n áá	3589	n à ŋ à + n áá - -
101	Mombo	cow (female)	nááyɔ̀ɔ̀	n ááyɔ̀ɔ̀	3588	n ááyɔ̀ɔ̀ -
102	BonduSoNajamba	cow (female)	nɛ̀ɛ̀yɛ̌ɛ̌	n ɛ̀ɛ̀yɛ̌ɛ̌	3588	n ɛ̀ɛ̀yɛ̌ɛ̌ -
104	Nanga	cow (female)	nàŋà+yàá	n à ŋ à + y à á	3589	n à ŋ à + - y à á
105	TogoKan	cow (female)	nàŋà+náá	n à ŋ à + n áá	3589	n à ŋ à + n áá - -
106	TommoSoTongoTongo	cow (female)	nààyàá	n àà y à á	3587	n àà y à á - -
107	ToroTegu	cow (female)	nàŋà+yá	n à ŋ à + yá	3589	n à ŋ à + - yá - -
108	YandaDom	cow (female)	nààyɛ̀	n àà yɛ̀	3588	n àà yɛ̀
109	YornoSo	cow (female)	nààyàá	n àà y à á	3587	n àà y à á - -
17155	Penange	cow (female)	nàà	n àà	3588	n àà -
17156	TebulUre	cow (female)	nàá	n à á	3588	n à á
5286	BankanTey	cow-pea	nù+míì	n ù + m í ì	3590	n ù + m í ì
5287	BenTey	cow-pea	nùwⁿíì+ⁿ	n ù wⁿ í ì +ⁿ	3591	n ù wⁿ í ì +ⁿ
5288	Bunoge	cow-pea	nùnù+ŋgè	n ù n ù + ŋ g è	3593	n ù n ù + ŋ g è
5289	DogulDomBendiely	cow-pea	nú+m	n ú + m	3590	n ú + m - -
5290	DogulDomKundialang	cow-pea	nû+m	n û + m	3590	n û + m - -
5291	DonnoSo	cow-pea	nǔŋ	n ǔ ŋ	3596	n ǔ ŋ
5292	JamsayDouentza	cow-pea	nǐ+m	n ǐ + m	3590	n ǐ + m - -
5293	JamsayMondoro	cow-pea	nǐ+m	n ǐ + m	3590	n ǐ + m - -
5294	Mombo	cow-pea	nú+ŋgé	n ú + ŋ g é	3593	n ú - - + ŋ g é
5295	BonduSoNajamba	cow-pea	nú+mbú+ŋgó	n ú + m b ú + ŋ g ó	3592	n ú + m b ú + ŋ g ó
5296	Nanga	cow-pea	nì+mî	n ì + m î	3590	n ì + m î -
5297	Penange	cow-pea	núm+gé	n ú m + g é	3601	n ú m + g é
5298	PergeTegu	cow-pea	nú+m	n ú + m	3590	n ú + m - -
5299	TebulUre	cow-pea	ní+mé	n í + m é	3590	n í + m é -
5300	Tiranige	cow-pea	nùnù+ŋgè	n ù n ù + ŋ g è	3593	n ù n ù + ŋ g è
5301	TogoKan	cow-pea	nìí	n ì í	3605	n ì - í -
5302	TommoSoTongoTongo	cow-pea	nú+m	n ú + m	3590	n ú + m - -
5303	TomoKanSegue	cow-pea	ɲíʔí+ⁿ	ɲ í ʔ í +ⁿ	3605	ɲ í ʔ í +ⁿ
5304	ToroTegu	cow-pea	nú+m	n ú + m	3590	n ú + m - -
5305	YandaDom	cow-pea	nǐ+m	n ǐ + m	3590	n ǐ + m - -
5306	YornoSo	cow-pea	nǔ+m	n ǔ + m	3590	n ǔ + m - -
16448	BankanTey	crooked, with several fairly sharp bends or curves (e.g. stick)	pùsùm+ú	p ù s ù m + ú	3606	p ù s ù m + ú
16449	BenTey	crooked, with several fairly sharp bends or curves (e.g. stick)	nùŋgùr+ú	n ù ŋ g ù r + ú	3607	n ù ŋ g ù r + ú
16450	DonnoSo	crooked, with several fairly sharp bends or curves (e.g. stick)	gɔ̀nn+ú	g ɔ̀ nn + ú	3609	g ɔ̀ nn + ú
16451	JamsayDouentza	crooked, with several fairly sharp bends or curves (e.g. stick)	pònùŋ+ú	p ò n ù ŋ + ú	3610	p ò n ù ŋ - + ú
16452	Mombo	crooked, with several fairly sharp bends or curves (e.g. stick)	gɔ́ndɛ́jáámb+à	g ɔ́ n d ɛ́ j áá m b + à	3611	g ɔ́ n d ɛ́ j áá m b + à
16453	BonduSoNajamba	crooked, with several fairly sharp bends or curves (e.g. stick)	kɔ̀ndɔ̂+ɔ̂	k ɔ̀ n d ɔ̂ + ɔ̂	3608	k ɔ̀ n d ɔ̂ + ɔ̂
16454	Nanga	crooked, with several fairly sharp bends or curves (e.g. stick)	nɔ̀ŋìrⁿí	n ɔ̀ ŋ ì rⁿ í	3612	n ɔ̀ ŋ ì rⁿ í
16455	PergeTegu	crooked, with several fairly sharp bends or curves (e.g. stick)	pònùŋg+ú	p ò n ù ŋ g + ú	3610	p ò n ù ŋ g + ú
16456	TogoKan	crooked, with several fairly sharp bends or curves (e.g. stick)	gòrùmgàràmk+áⁿ	g ò r ù m g à r à m k + áⁿ	3614	g ò r ù m g à r à m k + áⁿ
16457	TommoSoTongoTongo	crooked, with several fairly sharp bends or curves (e.g. stick)	bílébàlàbíl+é	b í l é b à l à b í l + é	3615	b í l é b à l à b í l + é
16458	TommoSoTongoTongo	crooked, with several fairly sharp bends or curves (e.g. stick)	mémél+ú	m é m é l + ú	3618	m é m é l + ú
16459	ToroTegu	crooked, with several fairly sharp bends or curves (e.g. stick)	mùn+ú	m ù n + ú	3616	m ù n + ú
16460	YornoSo	crooked, with several fairly sharp bends or curves (e.g. stick)	gɔ̀n+ú	g ɔ̀ n + ú	3609	g ɔ̀ n + ú
12171	BankanTey	crowd, large gathering	zà+máà	z à + m á à	3622	z à + m - á à
12172	BenTey	crowd, large gathering	jàwⁿáà	j à wⁿ á à	3620	j à wⁿ á à
12173	Bunoge	crowd, large gathering	jáá+mbà	j áá + m b à	3622	j áá + m b à -
12174	JamsayDouentza	crowd, large gathering	já+máà	j á + m á à	3622	j á + m - á à
12175	JamsayDouentza	crowd, large gathering	mɔ́ɔ́n	m ɔ́ɔ́ n	3633	m ɔ́ɔ́ n
12176	Mombo	crowd, large gathering	búlú+ŋgù	b ú l ú + ŋ g ù	3624	b ú l ú + ŋ g ù
12177	BonduSoNajamba	crowd, large gathering	jà+máà	j à + m á à	3622	j à + m - á à
12178	Nanga	crowd, large gathering	jà+mâ	j à + m â	3622	j à + m - â -
12179	Penange	crowd, large gathering	jàà+mbà	j àà + m b à	3622	j àà + m b à -
12180	PergeTegu	crowd, large gathering	já+máà	j á + m á à	3622	j á + m - á à
12181	TogoKan	crowd, large gathering	jàà+má	j àà + m á	3622	j àà + m - á -
12182	TommoSoTongoTongo	crowd, large gathering	jà+máá	j à + m áá	3622	j à + m - áá -
12183	ToroTegu	crowd, large gathering	zàwⁿá	z à wⁿ á	3620	z à wⁿ - á
12184	YandaDom	crowd, large gathering	zà+mbá	z à + m b á	3622	z à + m b á -
12185	YornoSo	crowd, large gathering	jàwⁿáà	j à wⁿ á à	3620	j à wⁿ á à
5469	BankanTey	cultivated field (for millet etc.) (general word)	ɲírⁿàà	ɲ í rⁿ àà	3634	ɲ í rⁿ àà
5470	BenTey	cultivated field (for millet etc.) (general word)	írⁿà	í rⁿ à	3634	- í rⁿ à
5471	Bunoge	cultivated field (for millet etc.) (general word)	bìlà	b ì l à	3637	b ì l à
5472	DogulDomBendiely	cultivated field (for millet etc.) (general word)	ɔ́ŋùnù	ɔ́ ŋ ù n ù	3638	ɔ́ ŋ ù n ù
5473	DogulDomKundialang	cultivated field (for millet etc.) (general word)	yàláá	y à l áá	3639	y à l áá
5474	DonnoSo	cultivated field (for millet etc.) (general word)	mìn+nɛ́	m ì n + n ɛ́	3640	m ì n + n ɛ́
5475	JamsayGourou	cultivated field (for millet etc.) (general word)	è+gú	è + g ú	3642	è + g ú
5476	JamsayDouentza	cultivated field (for millet etc.) (general word)	èjú	è j ú	3641	è j ú
5477	JamsayMondoro	cultivated field (for millet etc.) (general word)	èjú	è j ú	3641	è j ú
5478	Mombo	cultivated field (for millet etc.) (general word)	yàlà+kúb+yè	y à l à + k ú b + y è	3644	y à l à + k ú b + y è
5479	BonduSoNajamba	cultivated field (for millet etc.) (general word)	yàlíì+ŋgè	y à l í ì + ŋ g è	3636	y à l í ì + ŋ g è
5480	Nanga	cultivated field (for millet etc.) (general word)	ńnâ	ń n â	3645	- ń n â
5481	Nanga	cultivated field (for millet etc.) (general word)	ínâ	í n â	3645	í n - â
5482	Penange	cultivated field (for millet etc.) (general word)	yàlà	y à l à	3639	y à l à
5483	PergeTegu	cultivated field (for millet etc.) (general word)	wòrú	w ò r ú	3647	w ò r ú
5484	TebulUre	cultivated field (for millet etc.) (general word)	á+ndá	á + n d á	3648	á + n d á
5485	TebulUre	cultivated field (for millet etc.) (general word)	wòl+gó	w ò l + g ó	3657	w ò l + g ó
5486	Tiranige	cultivated field (for millet etc.) (general word)	yálá	yá l á	3639	yá - l á
5487	TogoKan	cultivated field (for millet etc.) (general word)	wòrú	w ò r ú	3647	w ò r ú
5488	TommoSoTongoTongo	cultivated field (for millet etc.) (general word)	mìn+nɛ́	m ì n + n ɛ́	3640	m ì n + n ɛ́
5489	TomoKanSegue	cultivated field (for millet etc.) (general word)	ʔyé+y	ʔ y é + y	3652	ʔ y é + y
5490	ToroTegu	cultivated field (for millet etc.) (general word)	órú	ó r ú	3647	- ó r ú
5491	YandaDom	cultivated field (for millet etc.) (general word)	òy	ò y	3654	ò y
5492	YandaDom	cultivated field (for millet etc.) (general word)	mɛ̀nɛ̀	m ɛ̀ n ɛ̀	3655	m ɛ̀ n ɛ̀
5493	YornoSo	cultivated field (for millet etc.) (general word)	mìnɛ́	m ì n ɛ́	3655	m ì n ɛ́
11115	BankanTey	curse (sb) (verb only)	zɛ̀w+ɛ́	z ɛ̀ w + ɛ́	3666	z ɛ̀ w + ɛ́
11116	BenTey	curse (sb) (verb only)	jɛ̀w+ɛ́	j ɛ̀ w + ɛ́	3666	j ɛ̀ w + ɛ́
11117	Bunoge	curse (sb) (verb only)	yɛ́b+ɛ̀	yɛ́ b + ɛ̀	3661	yɛ́ b + ɛ̀
11118	DogulDomKundialang	curse (sb) (verb only)	jɛ̀b+ɛ́	j ɛ̀ b + ɛ́	3666	j ɛ̀ b + ɛ́
11119	DonnoSo	curse (sb) (verb only)	jɛ̀b+ɛ́	j ɛ̀ b + ɛ́	3666	j ɛ̀ b + ɛ́
11120	JamsayDouentza	curse (sb) (verb only)	jɛ̀w+ɛ́	j ɛ̀ w + ɛ́	3666	j ɛ̀ w + ɛ́
11121	JamsayMondoro	curse (sb) (verb only)	jɛ̀w+ɛ́	j ɛ̀ w + ɛ́	3666	j ɛ̀ w + ɛ́
11122	Mombo	curse (sb) (verb only)	géb+é	g é b + é	3666	g é b + é
11123	BonduSoNajamba	curse (sb) (verb only)	sɔ́ŋg+ɛ́	s ɔ́ ŋ g + ɛ́	3660	s ɔ́ ŋ g + ɛ́
11124	Nanga	curse (sb) (verb only)	jɛ̀w+ɛ́	j ɛ̀ w + ɛ́	3666	j ɛ̀ w + ɛ́
11125	Penange	curse (sb) (verb only)	yɛ́b+ɛ́	yɛ́ b + ɛ́	3661	yɛ́ b + ɛ́
11126	PergeTegu	curse (sb) (verb only)	gɛ̀w+ɛ́	g ɛ̀ w + ɛ́	3666	g ɛ̀ w + ɛ́
11127	TebulUre	curse (sb) (verb only)	zɛ̀b+ɛ́	z ɛ̀ b + ɛ́	3666	z ɛ̀ b + ɛ́
11128	TogoKan	curse (sb) (verb only)	jɛ̀w+ɛ́	j ɛ̀ w + ɛ́	3666	j ɛ̀ w + ɛ́
11129	TommoSoTongoTongo	curse (sb) (verb only)	jɛ̀b+ɛ́	j ɛ̀ b + ɛ́	3666	j ɛ̀ b + ɛ́
11130	ToroTegu	curse (sb) (verb only)	zɛ̀w+á	z ɛ̀ w + á	3673	z ɛ̀ w + á
11131	YandaDom	curse (sb) (verb only)	zɛ̀b+ɛ́	z ɛ̀ b + ɛ́	3666	z ɛ̀ b + ɛ́
11132	YornoSo	curse (sb) (verb only)	jɛ̀b+ɛ́	j ɛ̀ b + ɛ́	3666	j ɛ̀ b + ɛ́
14336	BankanTey	cut or break (stone) into small pieces	bɛ̀ɛ̀r+í	b ɛ̀ɛ̀ r + í	3674	b ɛ̀ɛ̀ r + - í
14337	BenTey	cut or break (stone) into small pieces	bɛ̀g+ɛ́+wà	b ɛ̀ g + ɛ́ + w à	3675	b ɛ̀ g + ɛ́ + w à
14338	JamsayDouentza	cut or break (stone) into small pieces	bɛ̀r+gɛ́	b ɛ̀ r + g ɛ́	3674	b ɛ̀ r + g ɛ́
14339	Mombo	cut or break (stone) into small pieces	píj+á+gè	p í j + á + g è	3678	p í j + á + g è
14340	BonduSoNajamba	cut or break (stone) into small pieces	dàág+wé	d à á g + w é	3676	d à á g + w é
14341	Nanga	cut or break (stone) into small pieces	bɛ̀g+ɛ́+mí	b ɛ̀ g + ɛ́ + m í	3675	b ɛ̀ g + ɛ́ + m í
14342	PergeTegu	cut or break (stone) into small pieces	pɛ́+ɛ́	p ɛ́ + ɛ́	3674	p ɛ́ - + - ɛ́
14343	TogoKan	cut or break (stone) into small pieces	tɛ́w+ɛ́	t ɛ́ w + ɛ́	3681	t ɛ́ w + ɛ́
14344	TommoSoTongoTongo	cut or break (stone) into small pieces	pɛ́l+ɛ́	p ɛ́ l + ɛ́	3674	p ɛ́ l + - ɛ́
14345	ToroTegu	cut or break (stone) into small pieces	wɛ̀s+ká	w ɛ̀ s + k á	3683	w ɛ̀ s + k á
14346	YornoSo	cut or break (stone) into small pieces	jɔ̀g+ɔ́	j ɔ̀ g + ɔ́	3684	j ɔ̀ g + ɔ́
